,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,2
5,3
6,4
7,5
8,7
9,10
10,11
11,13
12,15
13,17
14,19
15,26
16,36
17,42
18,54
19,61
20,77
21,99
22,133
23,174
24,218
25,279
26,349
27,440
28,564
29,697
30,905
31,1152
32,1444
