,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,3
9,4
10,5
11,7
12,8
13,10
14,11
15,13
16,16
17,18
18,21
19,26
20,34
21,44
22,50
23,65
24,79
25,100
26,118
27,138
28,163
29,188
30,238
31,294
32,364
