,cumulative_cases_simulated
0,1
1,2
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,5
10,7
11,10
12,11
13,14
14,15
15,20
16,22
17,31
18,40
19,49
20,67
21,72
22,83
23,100
24,122
25,148
26,184
27,226
28,270
29,316
30,376
31,459
32,523
