,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,2
5,4
6,4
7,5
8,5
9,5
10,5
11,6
12,7
13,11
14,15
15,17
16,26
17,34
18,40
19,50
20,63
21,78
22,100
23,128
24,161
25,205
26,266
27,318
28,404
29,488
30,590
31,745
32,925
