,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,6
9,7
10,8
11,12
12,15
13,18
14,26
15,33
16,39
17,44
18,55
19,59
20,65
21,78
22,97
23,117
24,145
25,181
26,226
27,272
28,319
29,394
30,479
31,584
32,696
