,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,3
5,3
6,6
7,8
8,8
9,10
10,11
11,11
12,16
13,21
14,23
15,30
16,34
17,45
18,54
19,66
20,75
21,95
22,122
23,145
24,184
25,227
26,263
27,318
28,386
29,462
30,556
31,665
32,821
