,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,3
12,3
13,4
14,4
15,7
16,8
17,15
18,19
19,21
20,25
21,29
22,42
23,63
24,86
25,114
26,136
27,187
28,251
29,341
30,458
31,584
32,742
