,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,4
12,5
13,10
14,12
15,17
16,23
17,30
18,40
19,52
20,69
21,83
22,104
23,134
24,182
25,245
26,331
27,442
28,576
29,764
30,995
31,1274
32,1671
