,cumulative_cases_simulated
0,1
1,2
2,4
3,4
4,4
5,5
6,7
7,8
8,9
9,11
10,14
11,19
12,21
13,22
14,31
15,40
16,48
17,59
18,71
19,85
20,99
21,119
22,134
23,163
24,196
25,240
26,302
27,380
28,461
29,561
30,674
31,810
32,960
