,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,2
5,2
6,3
7,6
8,8
9,8
10,8
11,13
12,17
13,24
14,29
15,37
16,42
17,52
18,64
19,79
20,104
21,130
22,157
23,187
24,227
25,292
26,367
27,449
28,544
29,671
30,853
31,1061
32,1284
