,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,2
5,2
6,3
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,5
15,8
16,12
17,18
18,22
19,29
20,38
21,56
22,73
23,107
24,155
25,220
26,303
27,419
28,577
29,787
30,1080
31,1509
32,2106
