,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,2
5,2
6,3
7,3
8,5
9,8
10,10
11,11
12,16
13,19
14,24
15,32
16,43
17,55
18,64
19,84
20,106
21,134
22,163
23,202
24,240
25,299
26,353
27,443
28,554
29,676
30,807
31,970
32,1183
