,cumulative_cases_simulated
0,1
1,2
2,2
3,4
4,5
5,6
6,7
7,8
8,10
9,11
10,13
11,15
12,19
13,23
14,30
15,38
16,43
17,46
18,52
19,60
20,70
21,80
22,95
23,118
24,136
25,163
26,184
27,210
28,243
29,280
30,320
31,365
32,440
