,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,3
5,3
6,4
7,7
8,11
9,13
10,23
11,30
12,32
13,41
14,52
15,61
16,74
17,93
18,109
19,124
20,151
21,181
22,223
23,256
24,293
25,335
26,396
27,462
28,530
29,620
30,726
31,857
32,982
