,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,3
5,3
6,5
7,8
8,9
9,10
10,14
11,22
12,28
13,38
14,48
15,59
16,74
17,89
18,103
19,122
20,143
21,173
22,205
23,243
24,292
25,363
26,449
27,528
28,641
29,779
30,970
31,1172
32,1433
