,cumulative_cases_simulated
0,1
1,3
2,4
3,4
4,5
5,7
6,9
7,11
8,12
9,16
10,23
11,27
12,30
13,38
14,46
15,59
16,75
17,93
18,118
19,140
20,168
21,197
22,233
23,258
24,302
25,337
26,380
27,431
28,485
29,547
30,627
31,706
32,816
