,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,4
5,5
6,7
7,8
8,10
9,13
10,15
11,21
12,28
13,34
14,45
15,55
16,63
17,73
18,87
19,99
20,114
21,141
22,164
23,192
24,224
25,263
26,307
27,369
28,424
29,512
30,590
31,691
32,826
