,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,2
5,2
6,3
7,5
8,7
9,9
10,11
11,18
12,26
13,36
14,44
15,53
16,60
17,79
18,87
19,100
20,113
21,131
22,148
23,162
24,183
25,199
26,225
27,255
28,286
29,324
30,352
31,384
32,420
