,cumulative_cases_simulated
0,1
1,1
2,1
3,3
4,4
5,10
6,11
7,14
8,16
9,20
10,25
11,32
12,39
13,44
14,52
15,58
16,71
17,76
18,88
19,102
20,114
21,128
22,141
23,157
24,181
25,200
26,221
27,257
28,298
29,332
30,369
31,419
32,469
