,cumulative_cases_simulated
0,1
1,1
2,2
3,3
4,3
5,4
6,7
7,9
8,15
9,20
10,23
11,30
12,38
13,46
14,48
15,56
16,65
17,73
18,91
19,106
20,132
21,158
22,182
23,209
24,238
25,281
26,326
27,381
28,440
29,519
30,586
31,661
32,764
