,cumulative_cases_simulated
0,1
1,1
2,2
3,4
4,5
5,5
6,6
7,8
8,9
9,12
10,19
11,27
12,36
13,51
14,69
15,82
16,89
17,98
18,114
19,121
20,134
21,159
22,184
23,217
24,240
25,269
26,299
27,337
28,369
29,395
30,435
31,473
32,518
