,cumulative_cases_simulated
0,1
1,1
2,2
3,4
4,6
5,7
6,10
7,11
8,11
9,12
10,16
11,21
12,29
13,37
14,51
15,66
16,75
17,86
18,104
19,126
20,144
21,165
22,193
23,221
24,255
25,289
26,332
27,377
28,435
29,517
30,621
31,734
32,845
