,cumulative_cases_simulated
0,1
1,3
2,4
3,6
4,6
5,6
6,8
7,9
8,11
9,13
10,16
11,21
12,27
13,34
14,42
15,51
16,54
17,64
18,81
19,99
20,110
21,124
22,140
23,163
24,182
25,213
26,248
27,285
28,316
29,342
30,376
31,410
32,448
