,cumulative_cases_simulated
0,1
1,4
2,5
3,7
4,8
5,8
6,9
7,9
8,12
9,14
10,17
11,20
12,28
13,34
14,42
15,50
16,64
17,76
18,95
19,114
20,125
21,144
22,167
23,188
24,230
25,258
26,293
27,318
28,364
29,429
30,479
31,557
32,622
