,cumulative_cases_simulated
0,1
1,4
2,4
3,4
4,8
5,9
6,10
7,14
8,16
9,19
10,22
11,29
12,38
13,45
14,62
15,72
16,86
17,100
18,112
19,131
20,145
21,171
22,202
23,239
24,272
25,313
26,354
27,403
28,458
29,520
30,597
31,681
32,770
