,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,2
5,3
6,4
7,4
8,6
9,8
10,14
11,26
12,35
13,49
14,74
15,81
16,93
17,107
18,124
19,143
20,158
21,176
22,203
23,231
24,257
25,290
26,331
27,372
28,415
29,464
30,526
31,583
32,661
