,cumulative_cases_simulated
0,1
1,1
2,3
3,4
4,6
5,6
6,9
7,13
8,14
9,16
10,22
11,29
12,37
13,44
14,48
15,54
16,62
17,76
18,83
19,97
20,113
21,124
22,137
23,152
24,170
25,197
26,214
27,238
28,271
29,299
30,334
31,370
32,404
