,cumulative_cases_simulated
0,1
1,1
2,2
3,4
4,6
5,7
6,12
7,16
8,16
9,19
10,28
11,32
12,39
13,48
14,57
15,64
16,75
17,85
18,106
19,126
20,152
21,192
22,226
23,270
24,306
25,344
26,379
27,426
28,475
29,539
30,610
31,704
32,809
