,cumulative_cases_simulated
0,1
1,1
2,1
3,3
4,6
5,10
6,14
7,15
8,18
9,18
10,21
11,24
12,34
13,40
14,53
15,62
16,70
17,75
18,85
19,94
20,109
21,126
22,141
23,159
24,182
25,214
26,243
27,277
28,317
29,346
30,413
31,509
32,579
