,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,3
5,3
6,4
7,6
8,8
9,11
10,13
11,20
12,28
13,34
14,43
15,50
16,61
17,73
18,81
19,97
20,112
21,126
22,147
23,171
24,203
25,221
26,258
27,305
28,363
29,416
30,475
31,557
32,652
