,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,3
5,4
6,7
7,8
8,11
9,15
10,16
11,21
12,28
13,32
14,42
15,53
16,64
17,78
18,95
19,112
20,128
21,146
22,172
23,194
24,219
25,256
26,306
27,365
28,424
29,489
30,575
31,677
32,785
