,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,2
5,3
6,7
7,8
8,12
9,16
10,24
11,31
12,39
13,46
14,55
15,64
16,74
17,82
18,93
19,105
20,119
21,131
22,153
23,169
24,197
25,222
26,263
27,314
28,385
29,461
30,533
31,644
32,758
