,cumulative_cases_simulated
0,1
1,1
2,2
3,4
4,6
5,7
6,12
7,13
8,15
9,18
10,23
11,29
12,43
13,47
14,53
15,61
16,68
17,82
18,95
19,110
20,125
21,143
22,163
23,189
24,219
25,263
26,305
27,351
28,398
29,444
30,509
31,599
32,688
