,cumulative_cases_simulated
0,1
1,2
2,3
3,4
4,4
5,6
6,9
7,10
8,18
9,21
10,28
11,33
12,37
13,39
14,49
15,58
16,75
17,90
18,114
19,139
20,162
21,194
22,217
23,255
24,312
25,382
26,446
27,522
28,603
29,715
30,859
31,1020
32,1204
