,0
0,14
1,27
2,50
3,74
4,100
5,140
6,188
7,251
8,372
9,528
10,727
11,997
12,1361
13,1728
14,2188
15,2895
16,3659
17,4531
18,5276
19,6219
20,7023
21,7822
22,9062
23,10155
24,11335
25,12475
26,13799
27,14865
28,15784
29,17363
30,18654
31,20246
32,21376
33,22579
34,23581
35,24458
36,25785
