,total,confirmed,probable
270,36343,34963.0,1380.0
271,36698,35300.0,1398.0
272,37456,36051.0,1405.0
273,38398,36986.0,1412.0
274,39096,37655.0,1441.0
275,39912,38362.0,1550.0
276,40711,39160.0,1551.0
277,41464,39871.0,1593.0
278,42393,40783.0,1610.0
279,43036,41392.0,1644.0
280,43818,42152.0,1666.0
281,44876,43157.0,1719.0
282,45460,43719.0,1741.0
283,46457,44708.0,1749.0
284,47142,45381.0,1761.0
285,47929,46116.0,1813.0
286,48768,46897.0,1871.0
287,49109,47234.0,1875.0
288,50136,48249.0,1887.0
289,50616,48700.0,1916.0
290,51056,49127.0,1929.0
291,51623,49627.0,1996.0
292,52235,50139.0,2096.0
293,53015,50887.0,2128.0
294,53653,51486.0,2167.0
295,54473,52288.0,2185.0
296,55057,52861.0,2196.0
297,55488,53288.0,2200.0
298,56189,53919.0,2270.0
299,56596,54292.0,2304.0
300,57456,55112.0,2344.0
301,58064,55670.0,2394.0
302,58873,56455.0,2418.0
303,59484,57035.0,2449.0
304,60333,57842.0,2491.0
305,61100,58560.0,2540.0
306,61729,59134.0,2595.0
307,62949,60274.0,2675.0
308,63503,60758.0,2745.0
309,64475,61684.0,2791.0
310,65273,62409.0,2864.0
311,65827,62960.0,2867.0
312,66446,63532.0,2914.0
313,67173,64194.0,2979.0
314,68065,65031.0,3034.0
315,68727,65649.0,3078.0
316,69372,66226.0,3146.0
317,70294,67097.0,3197.0
318,70910,67705.0,3205.0
319,71311,68095.0,3216.0
320,71775,68532.0,3243.0
321,72523,69221.0,3302.0
322,73233,69860.0,3373.0
323,73915,70480.0,3435.0
324,74575,71112.0,3463.0
325,75191,71727.0,3464.0
326,75490,71983.0,3507.0
327,75832,72267.0,3565.0
328,76495,72850.0,3645.0
329,76935,73253.0,3682.0
330,77551,73813.0,3738.0
331,78071,74279.0,3792.0
332,78495,74678.0,3817.0
333,78696,74827.0,3869.0
334,78982,75074.0,3908.0
335,79225,75276.0,3949.0
336,79546,75589.0,3957.0
337,79832,75875.0,3957.0
338,80594,76594.0,4000.0
339,80931,76900.0,4031.0
340,81210,77141.0,4069.0
341,81461,77360.0,4101.0
342,81875,77737.0,4138.0
343,82263,78066.0,4197.0
344,82672,78459.0,4213.0
345,83003,78743.0,4260.0
346,83239,78954.0,4285.0
347,83369,79071.0,4298.0
348,83581,79257.0,4324.0
349,83852,79506.0,4346.0
350,84181,79797.0,4384.0
351,84531,80117.0,4414.0
352,84732,80291.0,4441.0
353,85090,80609.0,4481.0
354,85228,80744.0,4484.0
355,85506,80991.0,4515.0
356,85801,81257.0,4544.0
357,86098,81546.0,4552.0
358,86517,81952.0,4565.0
359,86799,82218.0,4581.0
360,87080,82476.0,4604.0
361,87193,82571.0,4622.0
362,87425,82777.0,4648.0
363,87643,82971.0,4672.0
364,87874,83187.0,4687.0
365,88139,83424.0,4715.0
366,88354,83621.0,4733.0
