,0
0,1
1,1
2,6
3,14
4,36
5,51
6,90
7,115
8,137
9,240
10,347
11,473
12,580
13,837
14,1172
15,1388
16,1795
17,2305
18,2746
19,3315
20,3540
21,4025
22,5237
23,6424
24,9150
25,10297
26,12496
27,13010
28,14867
29,16284
30,17030
31,18283
32,19253
33,20014
