,cumulative_cases_simulated
0,1
1,2
2,2
3,3
4,3
5,4
6,5
7,6
8,9
9,12
10,16
11,24
12,29
13,35
14,41
15,49
16,63
17,73
18,88
19,99
20,119
21,145
22,163
23,184
24,212
25,246
26,289
27,348
28,417
29,492
30,585
31,726
32,872
