,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,2
6,4
7,4
8,5
9,5
10,5
11,6
12,7
13,9
14,14
15,18
16,24
17,27
18,35
19,43
20,52
21,67
22,87
23,100
24,131
25,152
26,198
27,235
28,271
29,328
30,384
31,468
32,577
