,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,3
9,5
10,6
11,6
12,8
13,10
14,11
15,14
16,21
17,26
18,33
19,39
20,51
21,62
22,75
23,101
24,138
25,191
26,256
27,319
28,405
29,551
30,756
31,1025
32,1381
