,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,4
5,6
6,6
7,7
8,8
9,9
10,10
11,12
12,14
13,19
14,24
15,28
16,36
17,41
18,47
19,58
20,74
21,88
22,107
23,135
24,167
25,199
26,254
27,309
28,390
29,496
30,620
31,768
32,957
