,cumulative_cases_simulated
0,1
1,2
2,2
3,4
4,5
5,6
6,6
7,9
8,10
9,10
10,10
11,12
12,13
13,13
14,13
15,15
16,17
17,18
18,20
19,26
20,27
21,32
22,38
23,43
24,49
25,60
26,74
27,97
28,117
29,146
30,175
31,212
32,256
