,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,3
5,4
6,4
7,5
8,6
9,8
10,11
11,17
12,28
13,34
14,37
15,45
16,53
17,64
18,79
19,98
20,118
21,149
22,181
23,208
24,253
25,299
26,369
27,441
28,553
29,673
30,816
31,977
32,1195
