,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,2
5,5
6,9
7,11
8,14
9,16
10,20
11,23
12,29
13,34
14,39
15,42
16,51
17,60
18,77
19,96
20,110
21,131
22,163
23,194
24,244
25,293
26,357
27,429
28,520
29,640
30,785
31,956
32,1163
