,cumulative_cases_simulated
0,1
1,2
2,2
3,3
4,3
5,3
6,4
7,4
8,5
9,6
10,7
11,7
12,11
13,14
14,15
15,17
16,21
17,29
18,35
19,44
20,58
21,68
22,88
23,107
24,133
25,163
26,199
27,244
28,300
29,376
30,476
31,589
32,719
