,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,4
12,4
13,7
14,9
15,15
16,20
17,26
18,35
19,43
20,56
21,80
22,103
23,131
24,163
25,221
26,295
27,396
28,526
29,690
30,926
31,1205
32,1608
