,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,3
9,4
10,5
11,6
12,9
13,10
14,15
15,19
16,25
17,31
18,42
19,52
20,67
21,88
22,115
23,148
24,187
25,237
26,295
27,383
28,472
29,622
30,795
31,1013
32,1291
