,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,2
5,3
6,4
7,4
8,4
9,5
10,5
11,7
12,9
13,10
14,13
15,16
16,20
17,23
18,29
19,39
20,45
21,56
22,66
23,77
24,96
25,119
26,138
27,163
28,196
29,234
30,284
31,342
32,424
