,cumulative_cases_simulated
0,1
1,1
2,1
3,2
4,3
5,4
6,4
7,5
8,8
9,12
10,14
11,21
12,31
13,41
14,44
15,54
16,59
17,66
18,82
19,105
20,124
21,148
22,175
23,207
24,237
25,277
26,326
27,378
28,455
29,532
30,628
31,754
32,898
