,cumulative_cases_simulated
0,1
1,3
2,4
3,6
4,8
5,10
6,13
7,16
8,19
9,21
10,24
11,29
12,33
13,41
14,45
15,53
16,61
17,77
18,94
19,115
20,140
21,163
22,190
23,226
24,261
25,313
26,383
27,470
28,555
29,650
30,767
31,917
32,1083
