,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,2
5,3
6,4
7,4
8,9
9,13
10,15
11,17
12,20
13,24
14,27
15,35
16,40
17,48
18,56
19,71
20,102
21,130
22,159
23,204
24,257
25,315
26,371
27,461
28,556
29,669
30,810
31,977
32,1194
