,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,3
5,3
6,3
7,4
8,5
9,6
10,8
11,8
12,11
13,15
14,17
15,18
16,21
17,27
18,30
19,39
20,46
21,59
22,75
23,97
24,106
25,136
26,166
27,201
28,256
29,313
30,412
31,503
32,634
