,cumulative_cases_simulated
0,1
1,1
2,2
3,3
4,4
5,6
6,6
7,7
8,7
9,8
10,10
11,11
12,15
13,19
14,25
15,29
16,42
17,52
18,60
19,72
20,89
21,114
22,150
23,164
24,206
25,253
26,324
27,387
28,512
29,637
30,772
31,950
32,1195
