,cumulative_cases_simulated
0,1
1,2
2,3
3,5
4,6
5,6
6,8
7,8
8,9
9,9
10,10
11,10
12,11
13,12
14,12
15,14
16,15
17,16
18,20
19,21
20,24
21,31
22,34
23,40
24,44
25,53
26,61
27,68
28,86
29,103
30,121
31,129
32,147
