,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,2
6,3
7,4
8,5
9,7
10,9
11,10
12,12
13,14
14,17
15,19
16,20
17,24
18,31
19,39
20,42
21,49
22,62
23,74
24,89
25,113
26,138
27,163
28,179
29,213
30,256
31,312
32,362
