,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,6
8,8
9,9
10,11
11,12
12,13
13,16
14,19
15,20
16,27
17,31
18,37
19,44
20,50
21,55
22,61
23,65
24,72
25,84
26,108
27,135
28,158
29,189
30,230
31,265
32,314
