,cumulative_cases_simulated
0,1
1,2
2,2
3,2
4,2
5,2
6,4
7,6
8,7
9,8
10,9
11,12
12,14
13,16
14,21
15,31
16,37
17,48
18,60
19,76
20,101
21,122
22,154
23,186
24,225
25,271
26,332
27,412
28,501
29,618
30,756
31,922
32,1121
