,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,2
5,3
6,3
7,5
8,6
9,7
10,7
11,9
12,11
13,12
14,13
15,18
16,24
17,29
18,36
19,47
20,57
21,69
22,86
23,110
24,136
25,169
26,214
27,264
28,329
29,403
30,521
31,679
32,858
