,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,5
13,8
14,8
15,10
16,12
17,14
18,20
19,25
20,27
21,34
22,42
23,48
24,57
25,65
26,74
27,82
28,92
29,102
30,112
31,129
32,148
