,cumulative_cases_simulated
0,1
1,1
2,1
3,3
4,7
5,10
6,10
7,10
8,10
9,12
10,15
11,17
12,19
13,21
14,24
15,29
16,36
17,47
18,59
19,67
20,83
21,98
22,116
23,139
24,160
25,198
26,252
27,300
28,362
29,429
30,512
31,580
32,675
