,cumulative_cases_simulated
0,1
1,2
2,3
3,4
4,5
5,5
6,6
7,6
8,10
9,10
10,13
11,16
12,19
13,24
14,33
15,38
16,49
17,67
18,91
19,110
20,139
21,175
22,209
23,271
24,339
25,411
26,496
27,602
28,731
29,860
30,1059
31,1285
32,1552
