,cumulative_cases_simulated
0,1
1,1
2,2
3,2
4,3
5,3
6,5
7,7
8,10
9,13
10,19
11,22
12,28
13,34
14,41
15,51
16,60
17,73
18,85
19,103
20,133
21,160
22,201
23,252
24,307
25,366
26,430
27,526
28,631
29,759
30,909
31,1091
32,1305
