,cumulative_cases_simulated
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,3
12,6
13,8
14,12
15,14
16,16
17,21
18,26
19,34
20,44
21,59
22,83
23,107
24,149
25,187
26,250
27,322
28,426
29,537
30,707
31,943
32,1254
