,cumulative_cases_simulated
0,1
1,1
2,3
3,3
4,3
5,3
6,4
7,6
8,6
9,8
10,9
11,10
12,10
13,15
14,20
15,26
16,33
17,39
18,47
19,60
20,73
21,88
22,101
23,128
24,155
25,193
26,233
27,288
28,359
29,425
30,524
31,655
32,827
